Municipio,Departamento,Aval Partidos 2011
Aranzazu,Caldas,Firmas
Marmato,Caldas,Firmas
Filadelfia,Caldas,MIO
Marquetalia,Caldas,PC
Marulanda,Caldas,PC
Pensilvania,Caldas,PC
Anserma,Caldas,PC
San Jose,Caldas,PC
Manizales,Caldas,PC
Aguadas,Caldas,PC
Belalcazar,Caldas,PC
Chinchiná,Caldas,PC
Manzanares,Caldas,PC
Neira,Caldas,PC
Viterbo,Caldas,PC
Riosucio,Caldas,PDA
Supía,Caldas,PL
Victoria,Caldas,U
Norcasia,Caldas,U
Pacora,Caldas,U
Palestina,Caldas,U
Risaralda,Caldas,U
Villamaría,Caldas,U
Solano,Caquetá,ASI
Curillo,Caquetá,ASI
Belén Andaquies,Caquetá,AV
San José de Fragua,Caquetá,Firmas
El Paujil,Caquetá,MIRA
Cartagena del Chaira,Caquetá,PC
Milán,Caquetá,PC
San  Vicente del Caguan,Caquetá,PDA
La Montañita,Caquetá,PDA
El Doncello,Caquetá,PL
Puerto Rico,Caquetá,PL
Solita,Caquetá,PL
Valparaíso,Caquetá,PL
Morelia,Caquetá,U
Florencia,Caquetá,U
Albania,Caquetá,U
Recetor,Casanare,Afrovides
Maní,Casanare,Afrovides
Orocue,Casanare,Afrovides
Hato Corozal,Casanare,Afrovides
La Salina,Casanare,Afrovides
Tamara,Casanare,Afrovides
Pore,Casanare,AV
Monterrey,Casanare,AV
Sabanalarga,Casanare,CR
Aguazul,Casanare,CR
Nunchia,Casanare,PIN
Chameza,Casanare,PL
Trinidad,Casanare,PL
Yopal,Casanare,PL
Villanueva,Casanare,PL
Sacama,Casanare,PL
San Luis de Palenque,Casanare,PL
Paz de Ariporo,Casanare,PL
Tauramena,Casanare,U
Totoro,Cauca,Aico
Argelia,Cauca,ASI
Páez,Cauca,ASI
Silvia,Cauca,ASI
Sucre,Cauca,ASI
Buenos Aires,Cauca,ASI
Jambaló,Cauca,ASI
Toribio,Cauca,ASI
La Vega,Cauca,ASI
Caloto,Cauca,ASI
Patia (El Bordo),Cauca,ASI
Piamonte,Cauca,AV
Puerto Tejada,Cauca,AV
Almaguer,Cauca,CR
Inza,Cauca,CR
Purace,Cauca,CR
Florencia,Cauca,CR
Morales,Cauca,CR
Santa Rosa,Cauca,CR
Villa Rica,Cauca,Firmas
Rosas,Cauca,Firmas
Timbiquí,Cauca,MIO
Popayán,Cauca,PC
Balboa,Cauca,PL
Cajibio,Cauca,PL
López,Cauca,PL
Piendamo,Cauca,PL
Bolívar,Cauca,PL
Caldono,Cauca,PL
Corinto,Cauca,PL
El Tambo,Cauca,PL
San Sebastián,Cauca,PL
Suárez,Cauca,PL
Guapi,Cauca,PL
Guachene,Cauca,PL
Timbío,Cauca,U
Sotara,Cauca,U
Padilla,Cauca,U
Miranda,Cauca,U
La Sierra,Cauca,U
