Municipio,Departamento,Primer aval 2011,Primer aval 2015
Morelia,Caquetá,U,ASI
Florencia,Caquetá,U,CD
Albania,Caquetá,U,PC
Recetor,Casanare,Afrovides,AV
Maní,Casanare,Afrovides,CR
Orocue,Casanare,Afrovides,OC
Hato Corozal,Casanare,Afrovides,PL
La Salina,Casanare,Afrovides,PL
Tamara,Casanare,Afrovides,U
Pore,Casanare,AV,OC
Monterrey,Casanare,AV,PL
Sabanalarga,Casanare,CR,CR
Aguazul,Casanare,CR,U
Nunchia,Casanare,PIN,CR
Chameza,Casanare,PL,CR
Trinidad,Casanare,PL,CR
Yopal,Casanare,PL,Firmas
Villanueva,Casanare,PL,OC
Sacama,Casanare,PL,PC
San Luis de Palenque,Casanare,PL,PL
Paz de Ariporo,Casanare,PL,U
Tauramena,Casanare,U,CR
Totoro,Cauca,Aico,ASI
Argelia,Cauca,ASI,Aico
Páez,Cauca,ASI,ASI
Silvia,Cauca,ASI,ASI
Sucre,Cauca,ASI,AV
Buenos Aires,Cauca,ASI,CR
Jambaló,Cauca,ASI,Mais
Toribio,Cauca,ASI,Mais
La Vega,Cauca,ASI,PC
Caloto,Cauca,ASI,PL
Patia (El Bordo),Cauca,ASI,PL
Piamonte,Cauca,AV,U
Puerto Tejada,Cauca,AV,U
Almaguer,Cauca,CR,ASI
Inza,Cauca,CR,ASI
Purace,Cauca,CR,CR
Florencia,Cauca,CR,PL
Morales,Cauca,CR,PL
Santa Rosa,Cauca,CR,U
Villa Rica,Cauca,Firmas,PL
Rosas,Cauca,Firmas,U
Timbiquí,Cauca,MIO,Mais
Popayán,Cauca,PC,ASI
Balboa,Cauca,PL,CR
Cajibio,Cauca,PL,PC
López,Cauca,PL,PC
Piendamo,Cauca,PL,PC
Bolívar,Cauca,PL,PL
Caldono,Cauca,PL,PL
Corinto,Cauca,PL,PL
El Tambo,Cauca,PL,PL
San Sebastián,Cauca,PL,PL
Suárez,Cauca,PL,PL
Guapi,Cauca,PL,U
Guachene,Cauca,PL,PL
Timbío,Cauca,U,Aico
Sotara,Cauca,U,AV
Padilla,Cauca,U,CR
Miranda,Cauca,U,PL
La Sierra,Cauca,U,U
Mercaderes,Cauca,U,U
Santander de Quilichao,Cauca,U,U
Chimichagua,Cesar,ASI,PC
Astrea,Cesar,CR,ASI
Aguachica,Cesar,CR,CR
Gamarra,Cesar,CR,OC
González,Cesar,CR,PC
La Paz,Cesar,CR,PC
Bosconia,Cesar,CR,PL
Chiriguaná,Cesar,CR,U
Tamalameque,Cesar,CR,U
Valledupar,Cesar,Firmas,Firmas
San Alberto,Cesar,PC,CR
Río De Oro,Cesar,PC,PC
Pueblo Bello,Cesar,PC,U
San Martín,Cesar,PIN,PC
La Jagua Ibirico,Cesar,PIN,U
San Diego,Cesar,PL,CR
Pailitas,Cesar,PL,Mais
Manaure Balcón Del Cesar,Cesar,PL,OC
El Copey,Cesar,PL,PL
Pelaya,Cesar,PL,U
El Paso,Cesar,U,AV
Agustín Codazzi,Cesar,U,CR
Curumaní,Cesar,U,OC
La Gloria,Cesar,U,OC
Becerril,Cesar,U,PC
Riosucio,Chocó,Afrovides,U
El litoral del san juan,Chocó,ASI,ASI
Alto Baudó (pie de pato),Chocó,AV,U
Atrato,Chocó,CR,CR
Quibdo,Chocó,CR,CR
Unguia,Chocó,CR,OC
Certegui,Chocó,CR,PL
Lloro,Chocó,CR,PL
Rio iro,Chocó,CR,PL
Jurado,Chocó,CR,U
Medio san juan,Chocó,MIO,AV
San jose del palmar,Chocó,PC,ASI
Sipi,Chocó,PC,PL
Acandi,Chocó,PL,CR
Bahia solano (mutis),Chocó,PL,CR
Carmen del darien,Chocó,PL,CR
Condoto,Chocó,PL,CR
Medio baudo (boca de pepe),Chocó,PL,CR
Novita,Chocó,PL,PC
Bagado,Chocó,PL,PL
Istmina,Chocó,PL,PL
Medio atrato,Chocó,PL,PL
El canton de san pablo,Chocó,PL,U
El carmen,Chocó,PL,U
Rio quito,Chocó,PL,U
Bajo baudo (pizarro),Chocó,U,ASI
Unión panamericana,Chocó,U,PC
Bojaya (bellavista),Chocó,U,U
Nuqui,Chocó,U,U
Tado,Chocó,U,U
Cienaga De Oro,Córdoba,Aico,CR
Puerto Libertador,Córdoba,ASI,CR
Chima,Córdoba,ASI,PC
San josé de Uré,Córdoba,ASI,U
Sahagún,Córdoba,Firmas,U
Purísima,Córdoba,MIO,PC
Tierralta,Córdoba,MIO,U
San Carlos,Córdoba,PC,Aico
Planeta Rica,Córdoba,PC,PC
Montería,Córdoba,PC,PL
Chinú,Córdoba,PL,CR
Los Córdobas,Córdoba,PL,Mais
La Apartada,Córdoba,PL,OC
Puerto Escondido,Córdoba,PL,OC
Ayapel,Córdoba,PL,U
Canalete,Córdoba,PL,U
Cotorra,Córdoba,PL,U
San Antero,Córdoba,PL,U
San Andrés Sotavento,Córdoba,U,Aico
Moñitos,Córdoba,U,CR
Cereté,Córdoba,U,Mais
Buenavista,Córdoba,U,OC
Tuchín,Córdoba,U,OC
Montelíbano,Córdoba,U,PC
Pueblo Nuevo,Córdoba,U,PC
Valencia,Córdoba,U,PC
Lorica,Córdoba,U,U
Momil,Córdoba,U,U
San Bernardo Viento,Córdoba,U,U
San Pelayo,Córdoba,U,U
Chia,Cundinamarca,Aico,AV
Bituima,Cundinamarca,ASI,CR
Girardot,Cundinamarca,ASI,CR
Arbelaez,Cundinamarca,ASI,PC
Villapinzón,Cundinamarca,ASI,PC
Gachalá,Cundinamarca,ASI,PL
Alban,Cundinamarca,AV,CD
Choachí,Cundinamarca,AV,CR
Une,Cundinamarca,AV,CR
Ubalá,Cundinamarca,AV,PC
El Rosal,Cundinamarca,AV,PL
Sopo,Cundinamarca,AV,U
Guachetá,Cundinamarca,CR,AV
Caqueza,Cundinamarca,CR,CD
La Palma,Cundinamarca,CR,CD
Sutatausa,Cundinamarca,CR,CD
Beltrán,Cundinamarca,CR,CR
San Cayetano,Cundinamarca,CR,CR
Tena,Cundinamarca,CR,CR
Caparrapí,Cundinamarca,CR,OC
Fúquene,Cundinamarca,CR,OC
La Mesa,Cundinamarca,CR,OC
Paratebueno,Cundinamarca,CR,OC
Guasca,Cundinamarca,CR,PC
Gutiérrez,Cundinamarca,CR,PC
Lenguazaque,Cundinamarca,CR,PC
Nocaima,Cundinamarca,CR,PC
Tabio,Cundinamarca,CR,PC
Apulo,Cundinamarca,CR,PL
Zipacón,Cundinamarca,CR,PL
Pulí,Cundinamarca,CR,U
San Bernardo,Cundinamarca,CR,U
Tausa,Cundinamarca,CR,U
Cota,Cundinamarca,Firmas,OC
Cogua,Cundinamarca,Firmas,U
Funza,Cundinamarca,Firmas,CR
Gachancipá,Cundinamarca,Firmas,CR
Nemocón,Cundinamarca,Firmas,PL
Guayabetal,Cundinamarca,Firmas,U
Machetá,Cundinamarca,Firmas,CR
Gama,Cundinamarca,PC,CD
Fosca,Cundinamarca,PC,CR
Junín,Cundinamarca,PC,CR
La Calera,Cundinamarca,PC,CR
Venecia,Cundinamarca,PC,OC
Chocontá,Cundinamarca,PC,PC
Cucunubá,Cundinamarca,PC,PC
Pandi,Cundinamarca,PC,PC
Quipile,Cundinamarca,PC,PC
Sasaima,Cundinamarca,PC,PC
Sibaté,Cundinamarca,PC,PC
Simijaca,Cundinamarca,PC,PC
Supatá,Cundinamarca,PC,PC
Utica,Cundinamarca,PC,PC
Cajicá,Cundinamarca,PC,PL
Quetame,Cundinamarca,PC,U
San Francisco,Cundinamarca,PC,CD
Tibirita,Cundinamarca,PIN,PC
El Colegio,Cundinamarca,PL,ASI
Viota,Cundinamarca,PL,CD
Bojacá,Cundinamarca,PL,CR
Granada,Cundinamarca,PL,CR
Tocaima,Cundinamarca,PL,CR
Puerto Salgar,Cundinamarca,PL,OC
San  Antonio del  Tequendama,Cundinamarca,PL,OC
Topaipí,Cundinamarca,PL,OC
Nariño,Cundinamarca,PL,PC
Cabrera,Cundinamarca,PL,PDA
Anapoima,Cundinamarca,PL,PL
Facatativa,Cundinamarca,PL,PL
Nilo,Cundinamarca,PL,PL
Pasca,Cundinamarca,PL,PL
Ricaurte,Cundinamarca,PL,PL
Zipaquirá,Cundinamarca,PL,PL
Anolaima,Cundinamarca,PL,U
Cachipay,Cundinamarca,PL,U
Guataquí,Cundinamarca,PL,U
San Juan de Rioseco,Cundinamarca,PL,U
Silvania,Cundinamarca,PL,U
Viani,Cundinamarca,PL,U
Ubaque,Cundinamarca,U,ASI
Madrid,Cundinamarca,U,AV
Ubaté,Cundinamarca,U,AV
