"code","municipio","departamento","TMIN_CLAS_COBRE_A_1_1","conf_uso_2"
73283,"Fresno","Tolima",0,1.348184
73319,"Guamo","Tolima",0,0.253939
73347,"Herveo","Tolima",0,-0.326394
73349,"Honda","Tolima",0,0.253939
73352,"Icononzo","Tolima",0,-0.326394
73408,"Lérida","Tolima",0,2.114971
73411,"Líbano","Tolima",1,1.348184
73443,"Mariquita","Tolima",1,1.348184
73449,"Melgar","Tolima",0,2.114971
73461,"Murillo","Tolima",1,-0.326394
73483,"Natagaima","Tolima",1,2.114971
73504,"Ortega","Tolima",1,0.440392
73520,"Palocabildo","Tolima",0,-0.326394
73547,"Piedras","Tolima",0,1.348184
73555,"Planadas","Tolima",0,-2.187426
73563,"Prado","Tolima",0,2.114971
73585,"Purificación","Tolima",0,0.253939
73616,"Rioblanco","Tolima",1,-2.187426
73622,"Roncesvalles","Tolima",1,-0.326394
73624,"Rovira","Tolima",1,1.348184
73671,"Saldaña","Tolima",0,2.114971
73675,"San Antonio","Tolima",1,-0.326394
73678,"San Luis","Tolima",0,2.114971
73686,"Santa Isabel","Tolima",1,-0.326394
73770,"Suárez","Tolima",0,2.114971
73854,"Valle de San Juan","Tolima",0,0.440392
73861,"Venadillo","Tolima",0,0.440392
73870,"Villahermosa","Tolima",1,-0.326394
73873,"Villarrica","Tolima",0,-0.326394
76001,"Calí","Valle del Cauca",0,1.348184
76020,"Alcalá","Valle del Cauca",0,-0.326394
76036,"Andalucía","Valle del Cauca",0,2.114971
76041,"Ansermanuevo","Valle del Cauca",0,2.114971
76054,"Argelia","Valle del Cauca",0,-0.326394
76100,"Bolívar","Valle del Cauca",0,1.348184
76109,"Buenaventura","Valle del Cauca",0,-2.187426
76111,"Buga","Valle del Cauca",0,1.348184
76113,"Bugalagrande","Valle del Cauca",0,1.348184
76122,"Caicedonia","Valle del Cauca",0,2.114971
76126,"Calima (Darién)","Valle del Cauca",0,-2.187426
76130,"Candelaria","Valle del Cauca",0,1.348184
76147,"Cartago","Valle del Cauca",0,2.114971
76233,"Dagua","Valle del Cauca",0,1.348184
