scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
5,Admin-0 map subunit,6,Nauru,NRU,0,2,Sovereign country,Nauru,NRU,0,Nauru,NRU,0,Nauru,NRU,0,Nauru,Nauru,NRU,Nauru,,Nauru,NR,Republic of Nauru,,,,Nauru,,3,7,6,9,14019,60,-99,-99,-99,6. Developing region,4. Lower middle income,-99,,NR,NRU,520,520,-99,-99,-99,NRU,NRU,-99,-99,Oceania,Oceania,Micronesia,East Asia & Pacific,5,5,5,3,1
5,Admin-0 map subunit,6,New Zealand,NZ1,1,4,Geo subunit,New Zealand,NZL,0,New Zealand,NZL,1,New Zealand SubAntarctic islands,NZA,0,N.Z. SubAntarctic Is.,New Zealand SubAntarctic Islands,NZA,N.Z. SubAntarctic Is.,,N.Z. SA.Is.,SA,,,N.Z.,,New Zealand SubAntarctic islands,,3,3,4,4,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,NZL,NZL,-99,-99,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,21,32,11,-99,-99
3,Admin-0 map subunit,6,New Zealand,NZ1,1,4,Geo subunit,New Zealand,NZL,0,New Zealand,NZL,1,Chatham Islands,NZC,0,Chatham Is.,Chatham Islands,NZC,Chatham Is.,,Chath. Is.,CI,,,N.Z.,,Chatham Islands,,3,3,4,4,650,-99,-99,-99,-99,-99,-99,0,,-99,-99,-99,-099,-99,-99,-99,NZL,NZL,-99,-99,Oceania,Oceania,Melanesia,East Asia & Pacific,11,15,10,-99,-99
6,Admin-0 map subunit,6,New Zealand,NZ1,1,4,Geo subunit,New Zealand,NZL,0,New Zealand,NZL,1,Kermadec Is.,NZK,0,South I.,South Island,NZK,South I.,,S.I.,SI,,,N.Z.,,Kermadec Is.,,3,3,4,4,20,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,NZL,NZL,-99,-99,Oceania,Oceania,Melanesia,East Asia & Pacific,8,12,4,-99,1
0,Admin-0 map subunit,6,New Zealand,NZ1,1,4,Geo subunit,New Zealand,NZL,0,New Zealand,NZL,1,North Island,NZN,0,North I.,North Island,NZN,North I.,,N.I.,NI,,,,,North Island,,3,3,4,4,3366100,102863,0,-99,0,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,NZL,NZL,-99,-99,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,8,12,4,-99,1
0,Admin-0 map subunit,6,New Zealand,NZ1,1,4,Geo subunit,New Zealand,NZL,0,New Zealand,NZL,1,South Island,NZS,0,South I.,South Island,NZS,South I.,,S.I.,NI,,,,,South Island,,3,3,4,4,1038300,27343.329114,0,-99,0,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,NZL,NZL,-99,-99,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,8,12,4,-99,1
5,Admin-0 map subunit,4,United Kingdom,GB1,1,2,Dependency,Pitcairn Islands,PCN,0,Pitcairn Islands,PCN,0,Pitcairn Islands,PCN,0,Pitcairn Is.,Pitcairn Islands,PCN,Pitcairn Is.,,Pit. Is.,PN,"Pitcairn, Henderson, Ducie and Oeno Islands",,U.K.,,Pitcairn Islands,,6,6,6,3,48,0.72,-99,-99,-99,7. Least developed region,5. Low income,-99,,PN,PCN,612,612,-99,-99,-99,PCN,PCN,-99,-99,Oceania,Oceania,Polynesia,East Asia & Pacific,12,16,8,-99,-99
5,Admin-0 map subunit,6,Palau,PLW,0,2,Sovereign country,Palau,PLW,0,Palau,PLW,0,Palau,PLW,0,Palau,Palau,PLW,Palau,,Palau,PW,Republic of Palau,,,,Palau,,2,5,1,12,20796,164,-99,2010,-99,6. Developing region,3. Upper middle income,-99,,PW,PLW,585,585,PW,PLW,-99,PLW,PLW,-99,-99,Oceania,Oceania,Micronesia,East Asia & Pacific,5,5,5,2,1
1,Admin-0 map subunit,5,Papua New Guinea,PNG,0,3,Geo unit,Papua New Guinea,PNG,1,Bougainville,PNB,0,Bougainville,PNB,0,Bougainville,Bougainville,PNB,Bougainville,,Boug.,BG,Autonomous Region of Bougainville,,P.N.G,,Bougainville,North Solomons,4,2,3,1,175160,381.998206,0,-99,0,6. Developing region,4. Lower middle income,0,,-99,-99,-99,-099,-99,-99,-99,PNG,PNG,-99,-99,Oceania,Oceania,Melanesia,East Asia & Pacific,12,12,5,-99,-99
0,Admin-0 map subunit,2,Papua New Guinea,PNG,0,3,Geo unit,Papua New Guinea,PNG,1,Papua New Guinea,PNX,0,Papua New Guinea,PNX,0,Papua New Guinea,Papua New Guinea,PNX,Papua New Guinea,,P.N.G.,PG,Papua New Guinea,,,,Papua New Guinea,,4,2,3,1,5882103,12828.001794,-99,-99,-99,6. Developing region,4. Lower middle income,-99,,-99,-99,-99,-099,-99,-99,-99,PNG,PNG,-99,-99,Oceania,Oceania,Melanesia,East Asia & Pacific,16,16,6,-99,1
