"mupio","depto","accionesMilitares","IDH_1_1"
"NUEVO_COLON","BOYACA",0,0.619047
"OICATA","BOYACA",0,0.645738
"OTANCHE","BOYACA",2,0.595117
"PACHAVITA","BOYACA",0,0.58199
"PAEZ","BOYACA",0,0.584125
"PAIPA","BOYACA",0,0.683923
"PAJARITO","BOYACA",43,0.612569
"PANQUEBA","BOYACA",0,0.578925
"PAUNA","BOYACA",3,0.572638
"PAYA","BOYACA",0,0.555864
"PAZ_DE_RIO","BOYACA",1,0.640226
"PESCA","BOYACA",0,0.598195
"PISBA","BOYACA",3,0.52787
"PUERTO_BOYACA","BOYACA",1,0.606068
"QUIPAMA","BOYACA",0,0.585363
"RAMIRIQUI","BOYACA",1,0.611686
"RAQUIRA","BOYACA",14,0.585155
"RONDON","BOYACA",0,0.590811
"SABOYA","BOYACA",0,0.607002
"SACHICA","BOYACA",0,0.607925
"SAMACA","BOYACA",3,0.61644
"SAN_EDUARDO","BOYACA",1,0.606399
"SAN_JOSE_DE_PARE","BOYACA",0,0.593753
"SAN_LUIS_DE_GACENO","BOYACA",0,0.608216
"SAN_MATEO","BOYACA",1,0.587887
"SAN_MIGUEL_DE_SEMA","BOYACA",1,0.722365
"SAN_PABLO_DE_BORBUR","BOYACA",0,0.578977
"SANTANA","BOYACA",0,0.577372
"SANTA_MARIA","BOYACA",0,0.620363
"SANTA_ROSA_DE_VITERBO","BOYACA",0,0.63664
"SANTA_SOFIA","BOYACA",0,0.59597
"SATIVANORTE","BOYACA",1,0.597229
"SATIVASUR","BOYACA",0,0.627531
"SIACHOQUE","BOYACA",0,0.605779
"SOATA","BOYACA",1,0.611465
"SOCOTA","BOYACA",19,0.574572
"SOCHA","BOYACA",2,0.61492
"SOGAMOSO","BOYACA",7,0.677326
"SOMONDOCO","BOYACA",0,0.623099
"SORA","BOYACA",0,0.610149
"SOTAQUIRA","BOYACA",1,0.616216
"SORACA","BOYACA",1,0.608737
"SUSACON","BOYACA",1,0.594617
"SUTAMARCHAN","BOYACA",0,0.594888
"SUTATENZA","BOYACA",0,0.60928
"TASCO","BOYACA",6,0.609336
"TENZA","BOYACA",0,0.612264
"TIBANA","BOYACA",1,0.593195
"TIBASOSA","BOYACA",0,0.70416
"TINJACA","BOYACA",0,0.611543
"TIPACOQUE","BOYACA",0,0.593646
"TOCA","BOYACA",0,0.622546
"TOGUI","BOYACA",0,0.592596
"TOPAGA","BOYACA",1,0.623302
"TOTA","BOYACA",0,0.58661
"TUNUNGUA","BOYACA",0,0.591996
"TURMEQUE","BOYACA",0,0.610605
"TUTA","BOYACA",0,0.774714
"TUTAZA","BOYACA",8,0.599872
"UMBITA","BOYACA",3,0.60976
"VENTAQUEMADA","BOYACA",0,0.614885
"VIRACACHA","BOYACA",0,0.607398
"ZETAQUIRA","BOYACA",4,0.613298
"MANIZALES","CALDAS",3,0.698654
"AGUADAS","CALDAS",29,0.608679
"ANSERMA","CALDAS",14,0.622863
"ARANZAZU","CALDAS",0,0.617135
"BELALCAZAR","CALDAS",0,0.592689
"CHINCHINA","CALDAS",0,0.643067
"FILADELFIA","CALDAS",0,0.60399
"LA_DORADA","CALDAS",0,0.620827
"LA_MERCED","CALDAS",0,0.610762
"MANZANARES","CALDAS",14,0.60575
"MARMATO","CALDAS",0,0.614072
"MARQUETALIA","CALDAS",5,0.604709
"MARULANDA","CALDAS",12,0.636593
"NEIRA","CALDAS",3,0.60637
"NORCASIA","CALDAS",4,0.622317
"PACOA","VAUPES",4,0.617005
"PACORA","CALDAS",4,0.615663
"PALESTINA","CALDAS",0,0.61293
"PENSILVANIA","CALDAS",43,0.605954
"RIOSUCIO","CALDAS",35,0.618127
"RISARALDA","CALDAS",1,0.608848
"SALAMINA","CALDAS",21,0.591633
"SAMANA","CALDAS",129,0.587848
"SAN_JOSE","CALDAS",0,0.592329
"SUPIA","CALDAS",6,0.619998
"VICTORIA","CALDAS",0,0.61205
"VILLAMARIA","CALDAS",0,0.63233
"VITERBO","CALDAS",0,0.632446
"FLORENCIA","CAQUETA",149,0.610281
"ALBANIA","CAQUETA",8,0.614824
"BELEN_DE_LOS_ANDAQUIES","CAQUETA",15,0.589178
"CARTAGENA_DEL_CHAIRA","CAQUETA",174,0.574765
"CURILLO","CAQUETA",38,0.596553
"EL_DONCELLO","CAQUETA",56,0.601955
"EL_PAUJIL","CAQUETA",77,0.594253
"LA_MONTANITA","CAQUETA",334,0.565592
"MILAN","CAQUETA",44,0.596864
"MORELIA","CAQUETA",12,0.60632
"PUERTO_RICO","CAQUETA",132,0.599375
"SAN_JOSE_DEL_FRAGUA","CAQUETA",42,0.591526
"SAN_VICENTE_DEL_CAGUAN","CAQUETA",290,0.588994
"SOLANO","CAQUETA",0,0.59708
"SOLITA","CAQUETA",34,0.579062
"VALPARAISO","CAQUETA",28,0.620671
"POPAYAN","CAUCA",20,0.657698
"ALMAGUER","CAUCA",7,0.539358
"ARGELIA","CAUCA",56,0.588541
"BALBOA","CAUCA",18,0.612115
"BOLIVAR","CAUCA",31,0.782062
"BUENOS_AIRES","CAUCA",16,0.593971
"CAJIBIO","CAUCA",28,0.571642
"CALDONO","CAUCA",76,0.575593
"CALOTO","CAUCA",114,0.732842
"CORINTO","CAUCA",159,0.597949
"EL_TAMBO","CAUCA",99,0.584398
"FLORENCIA","CAUCA",2,0.610281
"GUACHENE","CAUCA",0,0.588915
"GUAPI","CAUCA",5,0.574056
"PURACE","CAUCA",5,0.599238
"INZA","CAUCA",14,0.586928
"JAMBALO","CAUCA",67,0.547524
"LA_SIERRA","CAUCA",16,0.59633
"LA_VEGA","CAUCA",5,0.625948
"LOPEZ_DE_MICAY","CAUCA",14,0.572996
"MERCADERES","CAUCA",11,0.573523
"MIRANDA","CAUCA",63,0.655431
"MORALES","CAUCA",22,0.582004
"PATIA","CAUCA",0,0.608383
"PADILLA","CAUCA",0,0.657197
"PIAMONTE","CAUCA",33,0.630883
"PIENDAMO","CAUCA",7,0.605769
"PUERTO_TEJADA","CAUCA",2,0.653721
"ROSAS","CAUCA",4,0.592166
"SAN_SEBASTIAN","CAUCA",4,0.582849
"SANTANDER_DE_QUILICHAO","CAUCA",44,0.638384
"SANTA_ROSA","CAUCA",31,0.592091
"SILVIA","CAUCA",24,0.596569
"SUAREZ","CAUCA",27,0.603153
"PAEZ","CAUCA",27,0.584125
"SUCRE","CAUCA",5,0.572298
"TIMBIO","CAUCA",10,0.608211
"TIMBIQUI","CAUCA",9,0.534653
"TORIBIO","CAUCA",131,0.570967
"SOTARA","CAUCA",13,0.599287
"TOTORO","CAUCA",13,0.586516
"VILLA_RICA","CAUCA",2,0.709025
"VALLEDUPAR","CESAR",102,0.62329
"AGUACHICA","CESAR",46,0.592688
